UNITID,EFYTOTLT2011,EFYTOTLT2010
106999,2239,7398
107044,7740,4568
107044,4653,2830
107044,3087,4463
107071,4432,3559
107071,3753,904
107071,679,1483
107080,1501,1476
107080,1488,7
107080,13,115
107099,99,115
107099,99,72
107123,57,72
107123,57,2431
107141,2390,1933
107141,1856,498
107141,534,38
107211,39,38
107211,39,608
107220,539,608
107220,539,37
107275,23,37
107275,23,128
107293,106,128
107293,106,3806
107318,3544,3806
107318,3544,3168
107327,3040,3168
107327,3040,102
107363,92,102
107363,92,107
107442,113,107
107442,113,3221
107460,3220,3221
107460,3220,317
107488,367,317
107488,367,1528
107512,1581,1528
107512,1581,2081
107521,1992,2081
107521,1992,1892
107549,2165,1892
107549,2165,659
107558,656,659
107558,656,3288
107585,3287,3288
107585,3287,736
107600,743,736
107600,743,3020
107619,2895,3020
107619,2895,4072
107637,3101,4072
107637,3101,56
107655,104,56
107655,104,15185
107664,15861,15185
107664,15861,2229
107725,2172,2229
107725,2172,1595
107743,1369,1595
107743,1369,129
107789,171,129
107789,171,175
107831,116,175
107831,116,709
107877,714,709
107877,714,2587
107974,2503,2587
107974,2503,3918
107983,4008,3247
107983,3343,671
107983,665,3751
107992,3849,3751
107992,3849,29
108065,21,29
108065,21,9086
108092,9389,9086
108092,9389,16407
108199,16401,16407
108199,16401,21049
108232,22236,14917
108232,15415,6132
108232,6821,1533
108250,1264,1533
108250,1264,122
108269,133,122
108269,133,94
108348,96,94
108348,96,308
108649,173,308
108649,173,12736
108667,11642,12736
108667,11642,17967
108807,19552,17967
108807,19552,208
108852,220,208
108852,220,94
108861,86,94
108861,86,338
108870,356,338
108870,356,50
108977,60,50
108977,60,93
109040,3675,93
109040,3675,2136
109086,80,2136
109086,51,135
109086,29,100
109208,54155,35
109208,54155,55644
109332,684,55644
109332,684,1006
109350,19052,1006
109350,19052,20654
109651,2256,20654
109651,2056,2135
109651,200,1957
109721,957,178
109721,957,1063
109730,231,1063
109730,231,126
109785,11474,126
109785,6254,10558
109785,5220,5358
109819,27426,5200
109819,27426,28131
109891,30,28131
109891,30,33
109907,5193,33
109907,5193,8411
109934,326,8411
109934,326,377
110060,378,377
110060,237,604
110060,141,492
110097,6758,112
110097,4504,303
110097,2254,185
110185,1215,118
110185,1158,6658
110185,57,4385
110194,354,2273
110194,354,1420
110219,1535,1364
110219,1535,56
110246,17877,379
110246,17877,379
110307,316,1111
110307,316,1111
110316,1603,18435
110316,134,18435
110316,1469,336
110334,20424,336
110334,20424,1483
110361,5822,124
110361,4443,1359
110361,1379,21877
110370,2061,21877
110370,1587,4934
110370,474,3711
110398,1321,1223
110398,1321,1843
110404,2274,1417
110404,1008,426
110404,1266,1376
110413,4812,1376
110413,2917,2244
110413,1895,982
110422,19077,1262
110422,17736,4477
110422,1341,2613
110468,4517,1864
110468,347,20194
110468,4170,18864
110486,9456,1330
110486,7812,4656
110486,1644,205
110495,9411,4451
110495,7786,9576
110495,1625,7668
110510,19065,1908
110510,15947,9034
110510,3118,7314
110529,22770,1720
110529,20345,19729
110529,2425,16049
110538,16912,3680
110538,15531,23217
110538,1381,20757
110547,15909,2460
110547,12474,17892
110547,3435,16408
110556,22285,1484
110556,18878,15924
110556,3407,12191
110565,39521,3733
110565,33248,21755
110565,6273,18429
110574,15357,3326
110574,12327,38551
110574,3030,32621
110583,37602,5930
110583,30931,16879
110583,6671,13157
110592,22830,3722
110592,17889,37291
110592,4941,30589
110608,37832,6702
110608,31896,23515
110608,5936,18007
110617,30362,5508
110617,26333,38028
110617,4029,31362
110635,39175,6666
110635,28437,30873
110635,10738,25941
110644,33786,4932
110644,26833,38970
110644,6953,28257
110653,29200,10713
110653,23688,33513
110653,5512,26681
110662,40863,6832
110662,28379,29237
110662,12484,23806
110671,22067,5431
110671,19441,41488
110671,2626,29055
110680,31089,12433
110680,25324,20895
110680,5765,18298
110699,3080,2597
110699,3080,30797
110705,24078,25226
110705,20795,5571
110705,3283,3166
110714,18412,3166
110714,16729,24702
110714,1683,21405
110778,604,3297
110778,604,18296
110875,171,16625
110875,171,1671
110918,26,550
110918,26,550
110945,2224,138
110945,2224,138
111009,1271,30
111009,1271,30
111054,380,1929
111054,380,1929
111081,1491,1326
111081,919,1326
111081,572,229
111188,870,229
111188,870,1415
111391,1026,906
111391,1026,509
111434,10762,836
111434,10762,836
111461,33263,1036
111461,33263,1036
111513,326,11597
111513,326,11597
111638,1006,35691
111638,1006,35691
111708,472,379
111708,472,379
111717,1129,847
111717,1129,847
111726,502,442
111726,502,442
111744,381,1067
111744,381,1067
111762,256,530
111762,256,530
111771,351,344
111771,351,344
111799,176,222
111799,176,222
111887,28810,351
111887,28810,351
111896,11427,345
111896,11427,345
111920,21214,31480
111920,21214,31480
111939,25455,11166
111939,25455,11166
111948,7706,23010
111948,5440,23010
111948,2266,29057
111966,337,29057
111966,164,6933
111966,173,4838
112075,3916,2095
112075,1717,304
112075,2199,267
112084,602,37
112084,578,3491
112084,24,1563
112127,93,1928
112127,93,484
112172,17293,460
112172,17293,24
112190,46543,96
112190,46543,96
112251,2503,17335
112251,2503,17335
112260,1289,49181
112260,1272,49181
112260,17,2517
112288,592,2517
112288,592,1268
112312,343,1248
112312,83,20
112312,260,595
112367,1918,595
112367,1918,411
112385,18477,75
112385,18477,336
112394,293,2586
112394,293,2586
112446,1097,18520
112446,942,18520
112446,155,241
112455,163,241
112455,163,979
112525,3037,833
112525,3037,146
112561,5224,136
112561,5224,136
112570,412,2781
112570,412,2781
112686,16127,6244
112686,16127,6244
112783,740,412
112783,740,412
112826,12468,12776
112826,12468,12776
113096,22825,1083
113096,22825,1083
113111,8379,13037
113111,8379,13037
113193,15033,24049
113193,15033,24049
113218,14897,8529
113218,14897,8529
113227,314,17077
113227,314,17077
113236,21655,15432
113236,21655,15432
113333,38281,291
113333,38281,291
113397,1031,22320
113397,1031,22320
113449,466,40906
113449,466,40906
113537,46,776
113537,33,776
113537,13,295
113573,12549,295
113573,12549,44
113582,339,27
113582,339,17
113607,15081,13154
113607,15081,13154
113634,32207,393
113634,32207,393
113698,2495,16554
113698,1702,13765
113698,793,2789
113704,95,34423
113704,95,34423
113856,54962,2370
113856,54962,1575
113908,1363,795
113908,1363,90
113953,8711,90
113953,8711,60651
113980,35392,60651
113980,35392,1189
114044,126,1189
114044,126,8821
114062,276,8821
114062,276,39717
114071,875,39717
114071,875,120
114080,754,120
114080,754,308
114114,226,308
114114,226,700
114123,937,700
114123,937,636
114266,15419,636
114266,15419,209
114354,5793,209
114354,5793,923
114372,169,923
114372,169,18333
114390,1228,18333
114390,1228,5925
114415,497,5925
114415,497,182
114433,3041,182
114433,3041,1217
114460,400,1217
114460,400,599
114549,1943,599
114549,1943,3805
114585,471,3805
114585,471,397
114628,189,397
114628,189,2176
114716,30120,2176
114716,30120,357
114734,69,357
114734,69,158
114761,126,158
114761,126,33129
114789,32524,33129
114789,32524,68
114813,5027,68
114813,3617,125
114813,1410,125
114840,4414,35400
114840,4414,35400
114859,31415,4317
114859,31415,3049
114895,195,1268
114895,195,4470
114938,12835,4470
114938,12835,32480
114947,7379,32480
114947,7379,217
115001,22282,217
115001,22282,16491
115010,499,16491
115010,499,3870
115083,5002,3870
115083,616,24604
115083,4386,24604
115126,19785,411
115126,19785,411
115214,282,4956
115214,282,597
115296,28040,4359
115296,28040,20800
115357,82,20800
115357,82,262
115393,14412,262
115393,14412,31099
115409,823,31099
115409,823,56
115454,2347,56
115454,2347,16837
115472,3366,16837
115472,3366,768
115490,2689,768
115490,2689,1888
115515,2477,1888
115515,2477,2623
115533,2477,2623
115533,2477,2309
115658,264,2309
115658,264,2074
115728,1448,2074
115728,870,2467
115728,578,2467
115746,911,258
115746,911,258
115755,8446,1383
115755,7750,802
115755,696,581
115773,1638,722
115773,1360,722
115773,278,8237
115861,11579,7541
115861,11579,696
115931,895,1291
115931,895,1095
116040,1636,196
116040,1636,11346
116226,530,11346
116226,521,906
116226,9,906
116350,371,1762
116350,371,1762
116439,23330,510
116439,23330,510
116466,2770,149
116466,2770,149
116475,1220,24004
116475,1220,24004
116484,1716,2616
116484,1716,2616
116563,154,1703
116563,154,1703
116712,1799,1997
116712,358,1997
116712,1441,192
116846,251,192
116846,135,156
116846,116,156
117052,20871,2039
117052,20871,336
117104,648,1703
117104,648,257
117113,2824,118
117113,2824,139
117140,10304,21586
117140,5528,21586
117140,4776,602
117168,527,602
117168,483,2876
117168,44,2876
117195,5785,9733
117195,5785,5029
117238,195,4704
117238,195,444
117247,20881,407
117247,20881,37
117274,6071,6492
117274,6071,6492
117520,410,219
117520,410,219
117557,524,22589
117557,146,22589
117557,378,4893
117575,271,4893
117575,105,449
117575,166,449
117627,2824,662
117627,2051,201
117627,773,461
117636,5130,250
117636,1403,91
117636,3727,159
117645,35722,2595
117645,35722,1786
117672,1190,809
117672,641,5014
117672,549,1439
117690,15515,3575
117690,15515,39919
117706,30280,39919
117706,30280,534
117715,11299,534
117715,11299,15232
117724,23287,15232
117724,23287,32042
117733,29543,32042
117733,29543,12253
117751,1780,12253
117751,1184,24777
117751,596,24777
117788,31261,29681
117788,31261,29681
117803,354,1669
117803,354,1107
117867,16115,562
117867,16115,31134
117894,14574,31134
117894,14574,394
117928,2161,394
117928,2145,16660
117928,16,16660
117946,9752,16606
117946,6232,16606
117946,3520,2092
117955,331,2075
117955,331,17
118116,187,9934
118116,187,6195
118125,110,3739
118125,110,263
118134,166,263
118134,166,181
118143,122,181
118143,122,149
118161,191,149
118161,191,262
118189,207,262
118189,207,114
118198,929,114
118198,929,182
118259,963,182
118259,963,235
118277,2110,235
118277,2110,912
118286,1828,912
118286,1828,1211
118347,11139,1211
118347,11139,2189
118356,4439,2189
118356,4439,2073
118541,885,2073
118541,885,11111
118684,7015,11111
118684,7015,3973
118693,684,3973
118693,684,662
118718,15155,662
118718,15155,7378
118772,10895,7378
118772,10895,704
118888,1676,704
118888,1021,166
118888,655,166
118912,22363,14960
118912,22363,14960
118921,756,12402
118921,756,12402
118930,16522,1635
118930,16522,1008
118958,90,627
118958,90,21160
118967,1741,21160
118967,1741,642
118976,24009,642
118976,24009,17615
118994,46,17615
118994,46,90
119058,894,90
119058,13,1898
119058,881,1898
119067,18209,24941
119067,18209,24941
119137,22840,51
119137,22840,51
119164,37922,947
119164,37922,12
119173,3175,935
119173,2492,16602
119173,683,16602
119216,24497,25058
119216,24497,25058
119234,418,38741
119234,418,38741
119270,2395,2954
119270,2395,2346
119331,8975,608
119331,8975,23960
119340,839,23960
119340,839,269
119359,1484,269
119359,1484,2308
119368,672,2308
119368,672,10674
119438,871,10674
119438,871,1090
119456,1404,1090
119456,1404,1828
119465,1129,1828
119465,1129,1121
119508,1540,1121
119508,1540,1101
119544,798,1101
119544,546,1680
119544,252,1680
119553,837,1329
119553,837,1329
119605,27820,2144
119605,11886,2144
119605,15934,736
119678,4382,478
119678,4382,258
119775,711,759
119775,439,759
119775,272,27332
119845,316,9739
119845,316,17593
119951,589,3854
119951,589,3854
120069,379,715
120069,379,432
120078,641,283
120078,641,335
120087,252,335
120087,252,581
120166,1395,581
120166,302,502
120166,1093,502
120184,2203,888
120184,1186,888
120184,1017,273
120254,2174,273
120254,2154,1503
120254,20,282
120272,177,1221
120272,177,2014
120290,17973,1049
120290,17973,965
120342,30841,2064
120342,30841,2034
120403,1298,30
120403,1197,196
120403,101,196
120421,10993,17499
120421,10993,17499
120537,1587,33303
120537,1023,33303
120537,564,1299
120661,797,1197
120661,797,102
120698,714,13385
120698,114,13385
120698,600,1289
120740,144,850
120740,144,439
120768,665,959
120768,180,959
120768,485,574
120795,213,66
120795,213,508
120838,332,173
120838,25,173
120838,307,715
120865,1962,131
120865,1951,584
120865,11,213
120883,7310,213
120883,4020,241
120883,3290,59
120953,5745,182
120953,5745,1680
120971,39116,1649
120971,39116,31
121008,347,6974
121008,347,3710
121017,177,3264
121017,177,361
121044,35756,361
