UNITID,LIAB011,LIAB910,ASSE011,ASSE910
119067,150174566,149732505,60854656,62500643
119137,,,,
119164,270634800,278480622,173303878,163891484
119216,25971085,24519099,69962645,68877540
119331,157412784,160668516,14962415,18766817
120023,299664469,294241914,256066285,316000859
120290,154852142,153422444,73986180,76390871
120342,198042676,193832049,71057556,76401835
120421,,,,
120953,42774965,42268997,50054589,47389520
120971,357383697,180900544,144836081,134517898
121044,166459644,164543151,185033025,188491044
121178,722894118,711471552,71868955,58557652
121363,,,,
121619,,,,
121707,37457745,37515143,51410212,43135659
121886,221852715,155660261,94501962,92716415
121901,300845170,183829810,216986120,195553952
122180,,,,
122205,,,,
122320,133564338,177815000,59012001,79547818
122339,203569337,247200387,89941928,110588261
122375,174457255,120740993,77079496,54015030
122384,91082575,216604145,40242516,407749533
122409,209752806,360887599,442405743,386464479
122597,351629587,227794110,416951887,97889218
122658,223445479,326759563,105662667,84512823
122737,322379600,,77783185,
122746,,349350983,,241753581
122755,376456613,127782069,247881677,30837840
122782,127473273,301840716,24963496,72843677
122791,301111293,67817015,58967580,128120353
122889,66643958,461357922,131592921,124706478
122977,462824417,255282168,131101526,184722906
123013,245379388,101039815,189629575,75578487
123217,120311527,66424312,92138894,33097991
123299,63930463,108179529,35215416,84778847
123341,105439784,32598484,85500893,6943785
123484,32025540,,8778628,
123493,,212764098,,51346682
123509,212249936,,41565579,
123527,,146021047,,29636108
123563,140852178,201162387,31434495,165672763
123572,197244869,207490092,172843479,70014109
123800,277408084,2959109,69726216,26264616
123925,3036796,76159068,22809688,45912638
124113,78401624,27238444000,44607185,19351076000
124557,30047869000,362981840,19764772000,350912522
125019,358314096,,350209588,
125028,,161522257,,56471858
125091,159266000,,68249000,
125170,,317690468,,116298007
125222,316606669,,116256876,
125301,,,,
125462,,,,
125471,,354196914,,118129023
126100,363460989,79397731,117418597,33262476
126119,97669670,72123426,32540855,64302444
126182,72277420,29155131,65079900,84338488
126207,27484784,9714875,96997545,39539035
126289,10529898,751140732,42716749,899190479
126562,828897927,130231745,940324776,169735806
126580,135321693,804270398,178041985,1102261699
126614,834461672,36774681,1219892764,157171397
126711,38159940,11692365,172622471,21328426
126748,11151255,214054209,33581480,160965800
126775,214924899,559985556,196579816,687060596
126818,669356406,6088515,728226515,16644313
126863,6877989,,18948405,
126915,,11510853,,21723630
126942,37045641,,31863524,
127158,,67351497,,114982980
127185,63363430,19950958,124263354,100444625
127200,21539287,1078594,121211757,13180818
127389,4199923,164836372,12944319,152629592
127556,159945020,100207570,161186594,53409525
127565,105609953,1991880,64925056,15705887
127617,1842620,13016847,17784240,18483239
127732,12663789,168937472,21257438,169545566
127741,163192280,5669954,176170828,21356384
127778,5478385,20822374,23038513,39634262
127820,21789914,7838122,51938773,41179359
127884,22184216,11691201,44364639,36892535
127909,11298604,84493657,44629122,79713131
128106,79910967,,90228872,
128151,,4067887,,19151165
128258,4392089,33398050,22217660,213475388
128300,11276624,,307399749,
128328,,95974942,,47627980
128391,96499066,3535414,63411282,7758024
128577,3649805,98682379,8951853,249080256
128771,96524060,1019700,252448062,5240156
128780,1436403,1514715080,5126004,1790167755
129020,1437750033,57224141,1734964777,234029147
129215,54736071,6789892,253787262,61733592
129367,6846774,7541215,61966787,94616694
129543,8230374,11734197,93082201,71872847
129695,11678404,13147164,71094409,56564274
129729,13077240,4850997,56590886,10625585
129756,5585989,8170400,10355262,90330168
129808,8463268,11597231,90562780,49209480
130004,11880018,3598165,50684223,24256809
130040,3653902,3720086,26062888,15711769
130217,3898899,12093457,15668136,206341642
130396,14225569,99948204,207423051,262202130
130493,99189850,7889809,271869724,41226600
130606,8240803,,40788469,
130624,,55325261,,204074045
130776,53453889,89396,206537876,3380558
130882,105500,2581080,3765496,21034045
130891,1791150,1255389,30192173,19401437
130907,1306541,3272324,27008266,47532637
130916,2988690,79010843,54477519,135181134
130934,76595659,79030401,140352624,91037876
131399,78710264,,118031336,
132374,,,,
132523,,,,
132675,,17034214,,125796766
132693,16279807,56001765,123030456,250770829
132709,55853440,8444037,270510394,88950404
132851,8089299,318760690,90262277,1020178630
132903,305695878,,1087877190,
132976,,3745499,,57799431
133021,4320658,,59066000,
133155,,43321373,,172055986
133386,43825382,26416099,171847653,145346535
133508,33074412,105853913,158099038,522742986
133650,79968963,191032174,593983960,802779369
133669,180553309,48000071,853265389,279897702
133702,42497091,350531586,283256443,806210686
133951,350237458,1524718,876576070,23768480
133960,1141272,374491076,27975599,1931172569
134097,431575035,588311000,2049561010,2297097000
134130,638115000,,2369297000,
134291,,,,
134307,,10340004,,100111635
134343,10263170,13988439,108243281,233573582
134495,12051500,19288232,244365984,265088493
134608,22019667,4983572,270162340,45654014
135160,5306206,,48530799,
135179,,4072088,,71912086
135188,4599052,,69778010,
135267,,,,
135276,,,,
135294,,7294778,,100149313
135391,8864267,,101184255,
135407,,,,
135522,,,,
135647,,90151282,,979071188
135717,107339284,,1096231657,
135735,,1938959,,30586882
136145,1234533,189310701,30250477,376003510
136172,190695124,7256367,386898714,134346064
136233,7076881,,135996192,
136303,,25771148,,226004009
136358,25108932,10506403,250408188,148473886
136400,7824223,15369966,182276776,66269671
136473,14572151,,71341101,
136491,,6736865,,74759274
136516,7152113,,72701544,
136659,,,,
136765,,,,
136826,,,,
137023,,55909854,,310061031
137078,57573827,,317412742,
137087,,108747631,,123504675
137096,118155209,,129875961,
137120,,18320525,,184322495
137209,18665422,,198034196,
137245,,4623108,,67672709
137281,3999145,3486745,69948640,75349321
137315,3907662,329103325,73621152,1063630190
137351,324273122,,1068453090,
137713,,30105257,,133540169
137759,34028891,,137381354,
137856,,,,
137865,,18818504,,246917237
138187,23381166,,294262328,
138284,,24055792,,215795540
138354,25281423,,225454221,
138372,,,,
138479,,,,
138488,,,,
138497,,51970968,,31041238
138558,51506844,1849372,38200511,22220231
138682,4602787,6016094,30948514,41566779
138691,37339709,38393551,38953609,97723159
138716,37993981,83766371,97968208,65642541
138789,115367709,1993344,68421492,15382383
138840,3903813,2525201,33088148,15543874
138901,1816014,1927675,15648112,34017427
138956,2162328,40575473,38765935,79705720
138983,39720282,4136319,79238477,36760933
139010,25162453,2543104,38208234,36334227
139250,18366961,2988430,51341600,54692559
139278,4026561,52703426,55079210,64011309
139311,83213309,1563627,68317833,15902973
139357,1808415,72604792,40355378,83318369
139366,104512242,5077884,81435601,35470499
139384,3134611,9686120,45359980,28675407
139463,9869963,2098848,29932224,21976117
139621,3130696,3304695,25512054,41796308
139700,3434126,72412053,41582474,64525276
139719,90012855,,64244634,
139746,,667885837,,1156377293
139755,656476026,45877442,1278529742,44778187
139764,45489616,17327924,47868866,41423016
139773,17150039,121890998,39764199,65550888
139861,120526764,11036050,67826497,44028780
139904,11634940,210668112,65264746,297062797
139931,198011317,388295121,309751918,504479206
139940,406063615,399183165,531153207,1423241715
139959,431928698,37740818,1487507132,37753393
139968,37023610,1941258,52082608,22588815
139986,2245979,6703260,27902871,37327585
140012,11063874,1093235,38595865,22246809
140085,1541680,1565483,24574191,21628436
140164,217300825,156983680,212758734,171184800
140243,2935914,3765734,26339807,26175006
140304,1893189,1669332,36126535,36574423
140322,17965872,6311464,81733329,80302171
140331,13061178,5461366,85536077,72436472
140401,165521163,151729868,339541079,337146810
140483,66073220,66212997,75575352,76742871
140599,1484778,1802707,32014574,31301045
140669,111967261,53088457,82816656,87923387
140678,1770392,1714545,32273517,31154484
140942,2201526,2157321,49507554,44930482
140960,59050496,58750029,76483121,75748255
140997,32258459,17273654,11186932,12469204
141006,1937672,1370897,27829062,22599384
141097,101330495,63873445,97950267,64829593
141158,783742,742823,24555317,24835304
141255,2547215,2684966,43544843,43322897
141264,230004146,232025303,140709274,131688935
141307,781995,1018517,10720001,10658088
141334,130947613,129504267,139776988,128319439
141565,44794131,44962199,212976320,191421086
141574,641630900,475685503,738785620,685356332
141680,5716961,5977075,16268057,16997311
141796,9008354,10201180,59955372,61763778
141802,2070527,2704702,11239579,11291364
141811,10414722,9840070,10961838,11335340
141839,4902648,6700681,84337984,80770455
141963,440693602,267278567,342404885,359110739
141981,78198612,22306086,97643118,49582709
141990,3589256,3346224,72628580,73853886
142115,286706392,291766549,316182725,295224780
142179,1464382,1119119,26456308,27106758
142276,100188866,103031624,190901906,169536346
142285,204083508,208254578,402353832,380286428
142328,15526512,16210179,61583161,56055093
142443,15728337,26393038,53593536,35090162
142559,11172830,9650666,83160436,79755764
143215,85282622,75317484,93617146,76398542
143279,28077356,32861597,72001700,62080343
